20000101,0.0
20000102,0.0
20000103,0.0
20000104,0.3
20000105,0.0
20000106,0.0
20000107,0.0
20000108,0.0
20000109,0.0
20000110,0.0
20000111,0.0
20000112,0.0
20000113,0.0
20000114,0.0
20000115,0.0
20000116,0.0
20000117,0.0
20000118,0.0
20000119,0.0
20000120,0.0
20000121,0.0
20000123,0.0
20000124,1.5
20000125,0.0
20000126,0.0
20000127,0.0
20000128,2.5
20000129,4.3
20000130,0.8
20000131,0.0
20000201,0.0
20000202,0.0
20000203,0.0
20000204,0.0
20000205,0.0
20000206,0.0
20000207,0.0
20000208,0.0
20000209,0.0
20000210,0.0
20000211,0.0
20000212,1.0
20000213,0.5
20000214,0.0
20000215,0.0
20000216,0.0
20000217,0.0
20000218,43.7
20000219,0.0
20000220,0.0
20000221,0.0
20000222,0.0
20000223,0.0
20000224,3.6
20000225,0.0
20000226,8.4
20000227,0.0
20000228,0.0
20000229,0.0
20000301,4.6
20000302,0.0
20000303,3.8
20000304,0.5
20000305,0.0
20000306,0.0
20000307,0.0
20000308,0.0
20000309,0.0
20000310,0.0
20000311,0.0
20000312,0.0
20000313,1.0
20000314,0.0
20000315,12.4
20000316,17.5
20000317,0.0
20000318,0.3
20000319,8.6
20000320,1.0
20000321,0.0
20000322,0.0
20000323,0.3
20000324,7.4
20000325,0.0
20000326,0.0
20000327,9.7
20000328,0.0
20000329,0.0
20000330,0.5
20000331,0.0
20000401,0.0
20000402,0.3
20000403,0.0
20000404,0.0
20000405,0.0
20000406,0.0
20000407,0.0
20000408,0.0
20000409,0.0
20000410,0.0
20000411,0.0
20000412,0.0
20000413,0.0
20000414,0.0
20000415,0.0
20000416,0.0
20000417,0.0
20000418,0.0
20000419,0.0
20000420,1.8
20000421,5.6
20000422,0.0
20000423,0.8
20000424,1.0
20000425,0.0
20000426,0.3
20000427,0.0
20000428,0.0
20000429,0.0
20000430,0.0
20000501,2.3
20000502,0.0
20000503,0.0
20000504,0.0
20000505,0.0
20000506,0.0
20000507,0.0
20000508,0.0
20000509,17.3
20000510,3.6
20000511,0.0
20000512,1.8
20000513,0.0
20000514,NA
20000515,NA
20000516,NA
20000517,NA
20000518,NA
20000519,NA
20000520,NA
20000521,NA
20000522,1.8
20000523,0.0
20000524,0.0
20000525,0.0
20000526,24.1
20000527,17.8
20000528,0.0
20000529,0.0
20000530,0.0
20000531,0.0
20000601,0.0
20000602,6.1
20000603,0.0
20000604,0.0
20000605,0.0
20000606,0.0
20000607,0.0
20000608,0.0
20000609,0.0
20000610,0.0
20000611,18.3
20000612,10.4
20000613,0.0
20000614,44.7
20000615,2.8
20000616,0.0
20000617,1.5
20000618,0.0
20000619,0.0
20000620,25.4
20000621,53.6
20000622,0.0
20000623,0.0
20000624,9.9
20000625,1.3
20000626,14.7
20000627,0.0
20000628,0.5
20000629,0.0
20000630,0.0
20000701,6.4
20000702,0.0
20000703,19.8
20000704,1.0
20000705,9.9
20000706,1.5
20000707,0.0
20000708,0.0
20000709,0.0
20000710,0.0
20000711,0.0
20000712,30.0
20000713,0.0
20000714,0.0
20000715,1.0
20000716,1.0
20000717,21.1
20000718,5.8
20000719,0.0
20000720,1.5
20000721,0.0
20000722,0.0
20000723,0.0
20000724,0.0
20000725,0.0
20000726,0.5
20000727,8.1
20000728,11.7
20000729,19.1
20000730,0.0
20000731,11.4
20000801,0.0
